id,category,value,pillar
3,Topic,Health & wellbeing,People & Culture
3,Topic,Education,People & Culture
3,Topic,Climate action,Environmental
3,Topic,Partnerships for sustainability,Value Chain
4,Topic,Health & wellbeing,People & Culture
4,Topic,"Diversity, equity & inclusion",People & Culture
4,Topic,Climate action,Environmental
4,Topic,Partnerships for sustainability,Value Chain
5,Topic,Health & wellbeing,People & Culture
5,Topic,Climate action,Environmental
6,Topic,Health & wellbeing,People & Culture
6,Topic,Education,People & Culture
6,Topic,"Diversity, equity & inclusion",People & Culture
6,Topic,Climate action,Environmental
6,Topic,Clean energy,Environmental
9,Topic,Health & wellbeing,People & Culture
9,Topic,Climate action,Environmental
9,Topic,Clean energy,Environmental
9,Topic,Partnerships for sustainability,Value Chain
11,Topic,Partnerships for sustainability,Value Chain
11,Topic,Health & wellbeing,People & Culture
12,Topic,Climate action,Environmental
12,Topic,Clean energy,Environmental
13,Topic,Clean energy,Environmental
14,Topic,Health & wellbeing,People & Culture
14,Topic,Education,People & Culture
20,Topic,Partnerships for sustainability,Value Chain
20,Topic,Clean energy,Environmental
20,Topic,Climate action,Environmental
20,Topic,"Diversity, equity & inclusion",People & Culture
20,Topic,Health & wellbeing,People & Culture
22,Topic,Education,People & Culture
22,Topic,Climate action,Environmental
22,Topic,Clean energy,Environmental
22,Topic,"Diversity, equity & inclusion",People & Culture
24,Topic,Health & wellbeing,People & Culture
24,Topic,"Diversity, equity & inclusion",People & Culture
24,Topic,Education,People & Culture
25,Topic,Health & wellbeing,People & Culture
25,Topic,"Diversity, equity & inclusion",People & Culture
26,Topic,Health & wellbeing,People & Culture
26,Topic,Education,People & Culture
26,Topic,Climate action,Environmental
26,Topic,Clean energy,Environmental
27,Topic,"Diversity, equity & inclusion",People & Culture
27,Topic,Health & wellbeing,People & Culture
27,Topic,Climate action,Environmental
27,Topic,Clean energy,Environmental
28,Topic,Health & wellbeing,People & Culture
28,Topic,Climate action,Environmental
28,Topic,"Diversity, equity & inclusion",People & Culture
31,Topic,Climate action,Environmental
31,Topic,Clean energy,Environmental
31,Topic,Health & wellbeing,People & Culture
31,Topic,"Diversity, equity & inclusion",People & Culture
31,Topic,Education,People & Culture
33,Topic,Climate action,Environmental
33,Topic,Clean energy,Environmental
34,Topic,"Diversity, equity & inclusion",People & Culture
34,Topic,Education,People & Culture
34,Topic,Health & wellbeing,People & Culture
34,Topic,Climate action,Environmental
34,Topic,Clean energy,Environmental
35,Topic,"Diversity, equity & inclusion",People & Culture
35,Topic,Climate action,Environmental
35,Topic,Clean energy,Environmental
36,Topic,Health & wellbeing,People & Culture
36,Topic,Education,People & Culture
36,Topic,Climate action,Environmental
36,Topic,Clean energy,Environmental
37,Topic,Clean energy,Environmental
37,Topic,Climate action,Environmental
38,Topic,Climate action,Environmental
38,Topic,Health & wellbeing,People & Culture
38,Topic,Clean energy,Environmental
39,Topic,Health & wellbeing,People & Culture
39,Topic,Climate action,Environmental
39,Topic,Clean energy,Environmental
39,Topic,Partnerships for sustainability,Value Chain
40,Topic,Health & wellbeing,People & Culture
40,Topic,Education,People & Culture
40,Topic,Climate action,Environmental
40,Topic,Clean energy,Environmental
41,Topic,Climate action,Environmental
41,Topic,Partnerships for sustainability,Value Chain
42,Topic,Health & wellbeing,People & Culture
42,Topic,"Diversity, equity & inclusion",People & Culture
42,Topic,Climate action,Environmental
42,Topic,Clean energy,Environmental
42,Topic,Education,People & Culture
42,Topic,Partnerships for sustainability,Value Chain
43,Topic,"Diversity, equity & inclusion",People & Culture
43,Topic,Education,People & Culture
43,Topic,Health & wellbeing,People & Culture
44,Topic,Education,People & Culture
44,Topic,Health & wellbeing,People & Culture
44,Topic,"Diversity, equity & inclusion",People & Culture
45,Topic,Health & wellbeing,People & Culture
45,Topic,Climate action,Environmental
45,Topic,Education,People & Culture
45,Topic,Clean energy,Environmental
46,Topic,Clean energy,Environmental
46,Topic,Climate action,Environmental
47,Topic,Climate action,Environmental
47,Topic,Health & wellbeing,People & Culture
48,Topic,Health & wellbeing,People & Culture
48,Topic,"Diversity, equity & inclusion",People & Culture
49,Topic,Health & wellbeing,People & Culture
49,Topic,Education,People & Culture
49,Topic,"Diversity, equity & inclusion",People & Culture
49,Topic,Climate action,Environmental
49,Topic,Partnerships for sustainability,Value Chain
49,Topic,Clean energy,Environmental
50,Topic,Climate action,Environmental
50,Topic,Health & wellbeing,People & Culture
50,Topic,Education,People & Culture
50,Topic,"Diversity, equity & inclusion",People & Culture
50,Topic,Clean energy,Environmental
50,Topic,Partnerships for sustainability,Value Chain
51,Topic,Climate action,Environmental
51,Topic,Health & wellbeing,People & Culture
51,Topic,Education,People & Culture
52,Topic,Climate action,Environmental
52,Topic,Health & wellbeing,People & Culture
52,Topic,Education,People & Culture
53,Topic,Climate action,Environmental
53,Topic,Clean energy,Environmental
53,Topic,Health & wellbeing,People & Culture
53,Topic,"Diversity, equity & inclusion",People & Culture
54,Topic,Health & wellbeing,People & Culture
54,Topic,Clean energy,Environmental
54,Topic,"Diversity, equity & inclusion",People & Culture
55,Topic,Climate action,Environmental
55,Topic,Clean energy,Environmental
55,Topic,Partnerships for sustainability,Value Chain
56,Topic,Climate action,Environmental
56,Topic,Health & wellbeing,People & Culture
56,Topic,"Diversity, equity & inclusion",People & Culture
57,Topic,Health & wellbeing,People & Culture
57,Topic,Education,People & Culture
57,Topic,"Diversity, equity & inclusion",People & Culture
57,Topic,Climate action,Environmental
57,Topic,Clean energy,Environmental
57,Topic,Partnerships for sustainability,Value Chain
58,Topic,Health & wellbeing,People & Culture
58,Topic,Education,People & Culture
58,Topic,"Diversity, equity & inclusion",People & Culture
58,Topic,Partnerships for sustainability,Value Chain
59,Topic,Health & wellbeing,People & Culture
59,Topic,Climate action,Environmental
59,Topic,"Diversity, equity & inclusion",People & Culture
60,Topic,Health & wellbeing,People & Culture
60,Topic,Clean energy,Environmental
60,Topic,Climate action,Environmental
61,Topic,Health & wellbeing,People & Culture
61,Topic,Education,People & Culture
61,Topic,"Diversity, equity & inclusion",People & Culture
61,Topic,Climate action,Environmental
61,Topic,Clean energy,Environmental
61,Topic,Partnerships for sustainability,Value Chain
62,Topic,Health & wellbeing,People & Culture
62,Topic,Climate action,Environmental
62,Topic,Clean energy,Environmental
63,Topic,Health & wellbeing,People & Culture
63,Topic,Climate action,Environmental
63,Topic,Clean energy,Environmental
64,Topic,Climate action,Environmental
64,Topic,Health & wellbeing,People & Culture
65,Topic,Clean energy,Environmental
65,Topic,Health & wellbeing,People & Culture
65,Topic,Education,People & Culture
65,Topic,"Diversity, equity & inclusion",People & Culture
65,Topic,Climate action,Environmental
66,Topic,Education,People & Culture
66,Topic,Climate action,Environmental
66,Topic,Clean energy,Environmental
66,Topic,Partnerships for sustainability,Value Chain
67,Topic,Education,People & Culture
67,Topic,Health & wellbeing,People & Culture
67,Topic,"Diversity, equity & inclusion",People & Culture
68,Topic,Health & wellbeing,People & Culture
68,Topic,Climate action,Environmental
68,Topic,Clean energy,Environmental
68,Topic,Partnerships for sustainability,Value Chain
68,Topic,"Diversity, equity & inclusion",People & Culture
68,Topic,Education,People & Culture
69,Topic,Climate action,Environmental
69,Topic,"Diversity, equity & inclusion",People & Culture
69,Topic,Health & wellbeing,People & Culture
70,Topic,"Diversity, equity & inclusion",People & Culture
70,Topic,Climate action,Environmental
71,Topic,Clean energy,Environmental
71,Topic,"Diversity, equity & inclusion",People & Culture
71,Topic,Education,People & Culture
71,Topic,Health & wellbeing,People & Culture
71,Topic,Climate action,Environmental
72,Topic,Education,People & Culture
72,Topic,"Diversity, equity & inclusion",People & Culture
72,Topic,Climate action,Environmental
73,Topic,Health & wellbeing,People & Culture
73,Topic,Education,People & Culture
73,Topic,Climate action,Environmental
74,Topic,Health & wellbeing,People & Culture
74,Topic,Education,People & Culture
74,Topic,Climate action,Environmental
75,Topic,"Diversity, equity & inclusion",People & Culture
75,Topic,Health & wellbeing,People & Culture
76,Topic,Health & wellbeing,People & Culture
76,Topic,Education,People & Culture
76,Topic,"Diversity, equity & inclusion",People & Culture
76,Topic,Climate action,Environmental
76,Topic,Clean energy,Environmental
76,Topic,Partnerships for sustainability,Value Chain
77,Topic,Clean energy,Environmental
77,Topic,Climate action,Environmental
77,Topic,Health & wellbeing,People & Culture
78,Topic,Clean energy,Environmental
78,Topic,Climate action,Environmental
79,Topic,Health & wellbeing,People & Culture
79,Topic,Education,People & Culture
79,Topic,Climate action,Environmental
79,Topic,"Diversity, equity & inclusion",People & Culture
79,Topic,Clean energy,Environmental
79,Topic,Partnerships for sustainability,Value Chain
80,Topic,Health & wellbeing,People & Culture
80,Topic,Clean energy,Environmental
80,Topic,Partnerships for sustainability,Value Chain
81,Topic,Partnerships for sustainability,Value Chain
