id,country,seniority,partnership_open_binary,personal_importance_norm,org_commitment_norm,importance_commitment_gap,peer_comparison_norm,avg_performance_norm,perf_rating_missing_count,combined_text,sentiment_label,polarity
3,The Netherlands,Senior,1,100,66.7,33.3,50.0,55.0,0,,neutral,0.0
4,The Netherlands,Mid,0,75,66.7,8.3,50.0,75.0,0,,neutral,0.0
5,The Netherlands,Mid,0,75,66.7,8.3,50.0,55.0,0,,neutral,0.0
6,The Netherlands,Mid,0,100,66.7,33.3,50.0,55.0,0,#. #,neutral,0.0
9,The Netherlands,Junior,0,75,33.3,41.7,,45.0,0,Offices close to a trainstation so you can take public transport instead a car.,neutral,0.0
11,The Netherlands,Junior,0,75,,,50.0,40.0,0,Create solutions that will help companies become more sustainable,positive,0.6888206601142883
12,The Netherlands,Junior,1,100,66.7,33.3,50.0,60.0,0,promoting eating less animals by having solely vegetarian lunches,neutral,0.0
13,The Netherlands,Junior,0,75,66.7,8.3,50.0,,5,,neutral,0.0
14,The Netherlands,Junior,0,25,66.7,-41.7,50.0,60.0,0,,neutral,0.0
20,The Netherlands,Senior,0,100,33.3,66.7,50.0,55.0,0,"working with more sustainable suppliers/locations (events, when rebuilding office etc)",neutral,0.0
22,Belux,Senior,0,100,33.3,66.7,,45.0,0,,neutral,0.0
24,Belux,Senior,0,75,66.7,8.3,50.0,40.0,0,"ensure to have more diversity in leadership and actively search for this. this diversity will allow us to look at the reality from a broader perspective and will open up for more sustainable business practices. - report systematically on ESG parameters as well iso only financial metrics
(ESG parameters and targets are unknown within the organization)
- include ESG parameters in Hub, Unit, Solution drivers for their management
(especially diversity related parameters)
- ensure to report outwards on our ESG accomplishments (into the market), include our ESG improvements in our company presentation and all outbound sales material.",positive,0.6015971302986145
25,Belux,Mid,0,75,66.7,8.3,50.0,55.0,0,Invest more in mobility budget and flexible options for commuting. It's possible to lease a bike but it remains an additional cost on top of the car (support),neutral,0.0
26,Belux,Senior,1,75,66.7,8.3,50.0,45.0,0,,neutral,0.0
27,Belux,Senior,0,100,33.3,66.7,,25.0,0,"Create more awareness with employees, make this",neutral,0.0
28,Belux,Junior,0,75,66.7,8.3,100.0,,5,"reimbursment of public transportation to work, a lot of times it's more convenient to go buy PT but employees don't because of the costs",neutral,0.0
31,Belux,Senior,0,75,66.7,8.3,50.0,45.0,0,,neutral,0.0
33,Belux,Junior,0,75,33.3,41.7,50.0,50.0,0,,neutral,0.0
34,Belux,Mid,0,75,66.7,8.3,,35.0,0,,neutral,0.0
35,The Netherlands,Mid,1,100,33.3,66.7,50.0,35.0,0,Carpool initiative,neutral,0.0
36,The Netherlands,Senior,0,100,66.7,33.3,50.0,75.0,0,Carpool and public transport,neutral,0.0
37,Belux,Senior,0,75,66.7,8.3,,30.0,0,,neutral,0.0
38,Belux,Mid,0,50,,,100.0,85.0,0,0,neutral,0.0
39,Philippines,Mid,0,100,100.0,0.0,50.0,80.0,0,,neutral,0.0
40,Germany,Mid,0,100,66.7,33.3,50.0,50.0,0,Change used heating too a modern one,neutral,0.0
41,UK & Ireland,Mid,0,100,66.7,33.3,50.0,45.0,0,,neutral,0.0
42,Germany,Senior,0,100,66.7,33.3,50.0,31.25,1,,neutral,0.0
43,Belux,Mid,1,75,66.7,8.3,,45.0,0,,neutral,0.0
44,Brazil,Senior,0,100,66.7,33.3,50.0,40.0,0,,neutral,0.0
45,Germany,Mid,0,100,33.3,66.7,50.0,40.0,0,Green offiice,neutral,0.0
